Date,DataType,Observer,Experiment,Taxon,SampleSize,Location,SiteLong,SiteLat,DataStatus
18-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,carabid,8,Kobbefjord,64.133333,-51.383333,entered
12-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,lady_bird,5,Kobbefjord,64.133333,-51.383333,entered
18-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,muscids,9,Kobbefjord,64.133333,-51.383333,entered
12-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,syrphids,5,Kobbefjord,64.133333,-51.383333,entered
17-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,weevil,10,Kobbefjord,64.133333,-51.383333,entered
18-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,weevil,7,Kobbefjord,64.133333,-51.383333,entered
17-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,wolf_spider,21,Kobbefjord,64.133333,-51.383333,entered
19-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,wolf_spider,46,Kobbefjord,64.133333,-51.383333,entered
13-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,muscids,20,Nuuk,-51.683056,64.183889,entered
15-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,muscids,1,Nuuk,-51.683056,64.183889,entered
16-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,muscids,1,Nuuk,-51.683056,64.183889,entered
17-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,muscids,1,Nuuk,-51.683056,64.183889,entered
13-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,weevil,26,Nuuk,-51.683056,64.183889,entered
12-Jun-2025,ecophysiological,"HB,PD,TR",locomotion,wolf_spider,18,Nuuk,-51.683056,64.183889,entered
25-Jul-2025,ecophysiological,PD,locomotion,craneflies,3,Zackenberg,74.468611,-20.574444,entered
27-Jul-2025,ecophysiological,PD,locomotion,craneflies,4,Zackenberg,74.468611,-20.574444,entered
25-Jul-2025,ecophysiological,PD,locomotion,mosquito,5,Zackenberg,74.468611,-20.574444,entered
28-Jun-2025,ecophysiological,"PD,TR",locomotion,mosquito,21,Zackenberg,74.468611,-20.574444,entered
10-Jul-2025,ecophysiological,"PD,TR",locomotion,muscids,43,Zackenberg,74.468611,-20.574444,entered
11-Jul-2025,ecophysiological,"PD,TR",locomotion,muscids,1,Zackenberg,74.468611,-20.574444,entered
15-Jul-2025,ecophysiological,PD,locomotion,muscids,16,Zackenberg,74.468611,-20.574444,entered
19-Jul-2025,ecophysiological,PD,locomotion,muscids,16,Zackenberg,74.468611,-20.574444,entered
23-Jul-2025,ecophysiological,PD,locomotion,muscids,9,Zackenberg,74.468611,-20.574444,entered
24-Jul-2025,ecophysiological,PD,locomotion,muscids,17,Zackenberg,74.468611,-20.574444,entered
26-Jul-2025,ecophysiological,PD,locomotion,muscids,18,Zackenberg,74.468611,-20.574444,entered
29-Jun-2025,ecophysiological,"PD,TR",locomotion,muscids,10,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",locomotion,sympistis_larva,2,Zackenberg,74.468611,-20.574444,entered
10-Jul-2025,ecophysiological,"PD,TR",locomotion,wolf_spider,13,Zackenberg,74.468611,-20.574444,entered
12-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,5,Zackenberg,74.468611,-20.574444,entered
14-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,29,Zackenberg,74.468611,-20.574444,entered
17-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,15,Zackenberg,74.468611,-20.574444,entered
19-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,17,Zackenberg,74.468611,-20.574444,entered
22-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,12,Zackenberg,74.468611,-20.574444,entered
23-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,10,Zackenberg,74.468611,-20.574444,entered
25-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,3,Zackenberg,74.468611,-20.574444,entered
26-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,6,Zackenberg,74.468611,-20.574444,entered
27-Jul-2025,ecophysiological,PD,locomotion,wolf_spider,9,Zackenberg,74.468611,-20.574444,entered
30-Jun-2025,ecophysiological,"PD,TR",locomotion,wolf_spider,8,Zackenberg,74.468611,-20.574444,entered
8-Jul-2025,ecophysiological,"PD,TR",locomotion,wolf_spider,23,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",locomotion,wooly_moth,3,Zackenberg,74.468611,-20.574444,entered
12-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,bottle fly,5,Nuuk,-51.683056,64.183889,entered
12-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,wolf spider,5,Nuuk,-51.683056,64.183889,entered
14-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,mosquito,1,Nuuk,-51.683056,64.183889,entered
14-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,wasp,1,Nuuk,-51.683056,64.183889,entered
15-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,midges,10,Nuuk,-51.683056,64.183889,entered
15-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,moth,6,Nuuk,-51.683056,64.183889,entered
18-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,carabid,4,Kobbefjord,64.133333,-51.383333,entered
18-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,weevil,4,Kobbefjord,64.133333,-51.383333,entered
19-Jun-2025,ecophysiological,"HB,PD,TR",Ctmax,bumblebee,2,Kobbefjord,64.133333,-51.383333,entered
9-Jul-2025,ecophysiological,"PD,TR",Ctmax,bottle fly,4,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",Ctmax,empid,2,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",Ctmax,mosquito,2,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",Ctmax,muscid,3,Zackenberg,74.468611,-20.574444,entered
9-Jul-2025,ecophysiological,"PD,TR",Ctmax,syrphid,21,Zackenberg,74.468611,-20.574444,entered
1-Aug-2025,ecophysiological,PD,HKDT,craneflies,3,Zackenberg,74.468611,-20.574444,entered
25-Jul-25,ecophysiological,PD,HKDT,craneflies,3,Zackenberg,74.468611,-20.574444,entered
27-Jul-25,ecophysiological,PD,HKDT,craneflies,1,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,craneflies,3,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,empids,6,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,empids,2,Zackenberg,74.468611,-20.574444,entered
4-Aug-25,ecophysiological,PD,HKDT,empids,1,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,mosquito,1,Zackenberg,74.468611,-20.574444,entered
25-Jul-25,ecophysiological,PD,HKDT,mosquito,4,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,mosquito,53,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,mosquito,21,Zackenberg,74.468611,-20.574444,entered
31-Jul-25,ecophysiological,PD,HKDT,mosquito,17,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,muscids,4,Zackenberg,74.468611,-20.574444,entered
10-Jul-25,ecophysiological,PD,HKDT,muscids,12,Zackenberg,74.468611,-20.574444,entered
19-Jul-25,ecophysiological,PD,HKDT,muscids,10,Zackenberg,74.468611,-20.574444,entered
23-Jul-25,ecophysiological,PD,HKDT,muscids,1,Zackenberg,74.468611,-20.574444,entered
24-Jul-25,ecophysiological,PD,HKDT,muscids,15,Zackenberg,74.468611,-20.574444,entered
26-Jul-25,ecophysiological,PD,HKDT,muscids,5,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,muscids,1,Zackenberg,74.468611,-20.574444,entered
31-Jul-25,ecophysiological,PD,HKDT,muscids,3,Zackenberg,74.468611,-20.574444,entered
4-Aug-25,ecophysiological,PD,HKDT,muscids,2,Zackenberg,74.468611,-20.574444,entered
1-Aug-25,ecophysiological,PD,HKDT,wolf_spider,9,Zackenberg,74.468611,-20.574444,entered
10-Jul-25,ecophysiological,PD,HKDT,wolf_spider,3,Zackenberg,74.468611,-20.574444,entered
12-Jul-25,ecophysiological,PD,HKDT,wolf_spider,1,Zackenberg,74.468611,-20.574444,entered
14-Jul-25,ecophysiological,PD,HKDT,wolf_spider,5,Zackenberg,74.468611,-20.574444,entered
19-Jul-25,ecophysiological,PD,HKDT,wolf_spider,16,Zackenberg,74.468611,-20.574444,entered
22-Jul-25,ecophysiological,PD,HKDT,wolf_spider,12,Zackenberg,74.468611,-20.574444,entered
23-Jul-25,ecophysiological,PD,HKDT,wolf_spider,5,Zackenberg,74.468611,-20.574444,entered
26-Jul-25,ecophysiological,PD,HKDT,wolf_spider,4,Zackenberg,74.468611,-20.574444,entered
27-Jul-25,ecophysiological,PD,HKDT,wolf_spider,8,Zackenberg,74.468611,-20.574444,entered
3-Aug-25,ecophysiological,PD,HKDT,wolf_spider,3,Zackenberg,74.468611,-20.574444,entered
30-Jul-25,ecophysiological,PD,HKDT,wolf_spider,11,Zackenberg,74.468611,-20.574444,entered
8-Jul-25,ecophysiological,PD,HKDT,wolf_spider,11,Zackenberg,74.468611,-20.574444,entered
