Date,Location,loc_temp,Taxon,Sample_ID,Body_Length_cm,Weight_g,Size_cat,Time_sec,Distance_cm,Acclim_temp,test,Temp,end_time_s,Notes,
12-Jun-25,Nuuk,21.3,wolf_spider,WS1-N12,0.4,0.0079,,4.3,25,NA,Ctmax,43,,,
12-Jun-25,Nuuk,21.6,wolf_spider,WS2-N12,0.5,0.0124,,6.61,25,NA,Ctmax,42,,,
12-Jun-25,Nuuk,21.1,wolf_spider,WS3-N12,0.1,0.0065,,3,25,NA,Ctmax,41,,,
12-Jun-25,Nuuk,20.8,wolf_spider,WS4-N12,0.6,0.0203,,7.47,25,NA,Ctmax,40,,,
12-Jun-25,Nuuk,21.1,wolf_spider,WS5-N12,0.8,,,3,25,NA,Ctmax,42,,,
12-Jun-25,Nuuk,21.2,wolf_spider,WS6-N12,,,,2.63,25,NA,HKDT,43.5,748,,
12-Jun-25,Nuuk,21.1,wolf_spider,WS7-N12,0.6,0.0176,,2.04,25,NA,HKDT,43.5,796,,
12-Jun-25,Nuuk,21.3,wolf_spider,WS8-N12,0.9,0.0944,,11.12,25,NA,HKDT,43.5,167,,
12-Jun-25,Nuuk,21.4,wolf_spider,WS9-N12,0.5,0.0589,,NA,0,NA,HKDT,43.5,775,,
12-Jun-25,Nuuk,21.2,wolf_spider,WS10-N12,0.4,0.0134,,4.3,25,NA,HKDT,43.5,65,,
12-Jun-25,Nuuk,21.3,wolf_spider,WS11-N12,0.4,0.0203,,4.65,25,NA,HKDT,43.5,170,,
12-Jun-25,Nuuk,21.4,wolf_spider,WS12-N12,0.3,0.0183,,4.26,25,NA,HKDT,43.5,315,,
12-Jun-25,Nuuk,21.4,wolf_spider,WS13-N12,0.1,0.0039,,14.85,14,NA,HKDT,43.5,50,,
12-Jun-25,Nuuk,21.3,wolf_spider,WS14-N12,0.3,0.0156,,5.9,25,NA,HKDT,43.5,50,,
12-Jun-25,Nuuk,21.6,wolf_spider,WS15-N12,0.3,0.0031,,NA,0,NA,HKDT,43.5,15,fail,
12-Jun-25,Nuuk,21.2,wolf_spider,WS16-N12,0.4,0.0213,,4,25,NA,HKDT,43.5,165,,
12-Jun-25,Nuuk,21.2,wolf_spider,WS17-N12,0.2,0.0107,,2.24,13,NA,HKDT,43.5,26,,
12-Jun-25,Nuuk,21.2,wolf_spider,WS18-N12,0.4,0.0203,,4.1,25,NA,HKDT,43.5,115,notes say > 5min,
13-Jun-25,Nuuk,22.8,weevil,BT1-N13,0.04,0.0406,,6.93,4,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT2-N13,0.04,0.0374,,84,25,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT3-N13,0.07,0.0527,,19.48,25,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT4-N13,0.075,0.0495,,20.03,10,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT5-N13,0.06,0.0373,,28.58,16,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT6-N13,0.08,0.0418,,31.85,20,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT7-N13,,0.0479,,7.99,3,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT8-N13,,0.0458,,28.35,24,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT9-N13,,0.0402,,24.72,13,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT10-N13,,0.0496,,40.09,25,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT11-N13,,0.0465,,4.06,4,,CCRT,,,,
13-Jun-25,Nuuk,22.8,weevil,BT12-N13,,0.0452,,22.71,25,,CCRT,,,,
13-Jun-25,Nuuk,10,weevil,BT14-N13,0.07,0.0427,,76,23,,CCRT,0.6,85,,
13-Jun-25,Nuuk,11.7,weevil,BT15-N13,0.07,0.0499,,107,24,,CCRT,0.6,198,,
13-Jun-25,Nuuk,11.9,weevil,BT16-N13,0.065,0.0374,,55,14,,CCRT,0.6,191,,
13-Jun-25,Nuuk,12.8,weevil,BT17-N13,0.07,0.048,,21,6,,CCRT,0.6,30,,
13-Jun-25,Nuuk,13.8,weevil,BT18-N13,0.07,0.0406,,54,14,,CCRT,0.6,76,,
13-Jun-25,Nuuk,10.8,weevil,BT19-N13,0.075,0.0449,,43,10.5,,CCRT,0.6,96,,
13-Jun-25,Nuuk,10.7,weevil,BT20-N13,0.08,0.0445,,NA,0,,CCRT,0.6,119,fail,
13-Jun-25,Nuuk,10.7,weevil,BT21-N13,0.08,0.463,,40,8,,CCRT,0.6,245,,
13-Jun-25,Nuuk,10.7,weevil,BT22-N13,0.06,0.0387,,57,14.7,,CCRT,0.6,101,,
13-Jun-25,Nuuk,37,weevil,BT23-N13,0.07,0.0365,,24.94,14,,CCRT,0.6,>3600,,
13-Jun-25,Nuuk,35.9,weevil,BT24-N13,0.075,0.0426,,24.65,13.5,,CCRT,0.6,209,,
13-Jun-25,Nuuk,32.6,weevil,BT25-N13,0.07,0.0455,,19.56,11,,CCRT,0.6,275,,
13-Jun-25,Nuuk,34.1,weevil,BT26-N13,0.065,0.0444,,23.76,12,,CCRT,0.6,94,,
13-Jun-25,Nuuk,34.1,weevil,BT27-N13,0.065,0.0365,,25.37,25,,CCRT,0.6,91,,
13-Jun-25,Nuuk,21.9,muscids,F1-N13,,,,10,25,,CCRT,-23,,"all did not recover, failed test",
13-Jun-25,Nuuk,21.9,muscids,F2-N13,,0.0133,,NA,0,,CCRT,-23,,fail,
13-Jun-25,Nuuk,21.9,muscids,F4-N13,,0.0103,,8.91,25,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F5-N13,,0.0091,,13.54,25,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F6-N13,,0.0149,,13.73,25,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F7-N13,,0.0124,,3.87,5,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F8-N13,,0.0158,,14.26,12,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F9-N13,,0.0072,,NA,0,,CCRT,-23,,fail,
13-Jun-25,Nuuk,21.9,muscids,F10-N13,,0.0063,,NA,0,,CCRT,-23,,fail,
13-Jun-25,Nuuk,21.9,muscids,F11-N13,,0.0099,,13.97,3,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F12-N13,,0.0086,,10.22,24,,CCRT,-23,,,
13-Jun-25,Nuuk,21.9,muscids,F13-N13,,0.008,,11.91,25,,CCRT,-23,,,
13-Jun-25,Nuuk,11.8,muscids,M9-N13,0.5,0.0061,,22.04,13,,HKDT,38,2330,,
13-Jun-25,Nuuk,11.9,muscids,M10-N13,0.4,0.0036,,11.75,2,,HKDT,38,3282,,
13-Jun-25,Nuuk,11.6,muscids,M11-N13,0.45,0.0035,,31.46,25,,HKDT,38,3089,,
13-Jun-25,Nuuk,11.2,muscids,M12-N13,0.4,0.0026,,12.7,4,,,,,,
13-Jun-25,Nuuk,11.1,muscids,M13-N13,0.55,0.0083,,29.04,15,,,,,,
13-Jun-25,Nuuk,11.7,muscids,M14-N13,0.5,0.0074,,NA,0,,,,,fail,
13-Jun-25,Nuuk,11,muscids,M15-N13,0.5,0.0052,,37.74,13,,,,,,
13-Jun-25,Nuuk,10.9,muscids,M16-N13,0.45,0.005,,NA,0,,,,,fail,
15-Jun-25,Nuuk,27.5,muscids,U2-N15,,0.0016,,NA,NA,,,,,potential escapee,
16-Jun-25,Nuuk,28.5,muscids,U4-N15,,0.0013,,19.07,8,,,,,,
17-Jun-25,Kobbefjord,14.6,wolf_spider,1A-K17,,,,2.46,25,,CCRT,0.8,0.34,,
17-Jun-25,Kobbefjord,14.6,wolf_spider,2A-K17,,,,4.59,25,,CCRT,0.8,62,,
17-Jun-25,Kobbefjord,14.7,wolf_spider,3A-K17,,,,7.81,25,,CCRT,0.8,69,,
17-Jun-25,Kobbefjord,14.8,wolf_spider,4A-K17,,,,2.7,5,,CCRT,0.8,66,,
17-Jun-25,Kobbefjord,14.9,wolf_spider,5A-K17,,,,1,25,,CCRT,0.8,0.5,,
17-Jun-25,Kobbefjord,3.8,wolf_spider,1B-K17,,,,13.88,25,,CCRT,0.8,0.55,,
17-Jun-25,Kobbefjord,3.7,wolf_spider,2B-K17,,,,5.89,25,,CCRT,0.8,NA,dead,
17-Jun-25,Kobbefjord,3.7,wolf_spider,3B-K17,,,,13.28,25,,CCRT,0.8,0.46,,
17-Jun-25,Kobbefjord,3.8,wolf_spider,4B-K17,,,,10.29,25,,CCRT,0.8,220,,
17-Jun-25,Kobbefjord,3,wolf_spider,5B-K17,,,,30.92,25,,CCRT,0.8,0.59,,
17-Jun-25,Kobbefjord,29.9,wolf_spider,1C-K17,,,,61,25,,,,,,
17-Jun-25,Kobbefjord,32,wolf_spider,2C-K17,,,,19.37,25,,,,,,
17-Jun-25,Kobbefjord,31,wolf_spider,3C-K17,,,,7.47,25,,,,,,
17-Jun-25,Kobbefjord,31,wolf_spider,4C-K17,,,,28.9,8,,,,,,
17-Jun-25,Kobbefjord,32,wolf_spider,5C-K17,,,,10.33,14,,,,,,
17-Jun-25,Kobbefjord,39,wolf_spider,1D-K17,,,,7.12,25,,,,,,
17-Jun-25,Kobbefjord,39,wolf_spider,2D-K17,,,,9.37,25,,,,,,
17-Jun-25,Kobbefjord,42,wolf_spider,3D-K17,,,,NA,0,,,,,fail,
17-Jun-25,Kobbefjord,42,wolf_spider,4D-K17,,,,2.44,25,,,,,questionable start temp,
17-Jun-25,Kobbefjord,40.4,wolf_spider,5D-K17,,,,2.37,4,,,,,,
17-Jun-25,Kobbefjord,37.9,wolf_spider,6D-K17,,,,2.89,25,,,,,questionable start temp,
17-Jun-25,Kobbefjord,39.9,weevil,W1A-K17,,,,32.6,8,,,,,,
17-Jun-25,Kobbefjord,38,weevil,W2A-K17,,,,15.93,3,,,,,,
17-Jun-25,Kobbefjord,38.4,weevil,W3A-K17,,,,NA,0,,,,,,
17-Jun-25,Kobbefjord,38,weevil,W4A-K17,,,,34.52,15,,,,,,
17-Jun-25,Kobbefjord,38.1,weevil,W5A-K17,,,,29.09,17,,,,,,
17-Jun-25,Kobbefjord,40.2,weevil,W6A-K17,,,,13.13,2,,,,,,
17-Jun-25,Kobbefjord,38,weevil,W7A-K17,,,,3.66,3,,,,,,
17-Jun-25,Kobbefjord,38,weevil,W8A-K17,,,,17.86,2,,,,,,
17-Jun-25,Kobbefjord,39.3,weevil,W9A-K17,,,,36.63,25,,,,,,
17-Jun-25,Kobbefjord,40,weevil,W10A-K17,,,,NA,0,,,,,,
17-Jun-25,Nuuk,29.5,muscids,U5-N15,,0.0044,,25.81,25,,,,,,
18-Jun-25,Kobbefjord,3.4,weevil,W1-K18,,,,54.11,2,,,,,,
18-Jun-25,Kobbefjord,3.5,weevil,W2-K18,,,,58,25,,,,,,
18-Jun-25,Kobbefjord,3.6,weevil,W4-K18,,,,108,13,,,,,,
18-Jun-25,Kobbefjord,2.7,weevil,W5-K18,,,,83,4,,,,,,
18-Jun-25,Kobbefjord,3.8,weevil,W6-K18,,,,257,25,,,,,,
18-Jun-25,Kobbefjord,3.9,weevil,W7-K18,,,,NA,0,,,,,,
18-Jun-25,Kobbefjord,3.8,weevil,W8-K18,,,,99,4,,,,,,
18-Jun-25,Kobbefjord,0.9,muscids,M3-K18,,,,36.69,24,,CCRT,0.26,,,
18-Jun-25,Kobbefjord,0.6,muscids,M1-K18,,,,20.73,20,,CCRT,0.12,,,
18-Jun-25,Kobbefjord,0.7,muscids,M2-K18,,,,13.9,3,,CCRT,0.22,,,
18-Jun-25,Kobbefjord,0.9,muscids,M5-K18,,,,6.94,2,,CCRT,0.32,,,
18-Jun-25,Kobbefjord,4,muscids,M6-K18,,,,3.5,2,,CCRT,0.34,,,
18-Jun-25,Kobbefjord,5.9,muscids,M7-K18,,,,NA,0,,CCRT,0.38,,fail,
18-Jun-25,Kobbefjord,6.8,muscids,M8-K18,,,,NA,0,,CCRT,0.42,,fail,
18-Jun-25,Kobbefjord,2.3,muscids,M9-K18,,,,NA,0,,CCRT,0.45,,fail,
18-Jun-25,Kobbefjord,2.6,muscids,M10-K18,,,,NA,0,,CCRT,0.49,,fail,
12-Jun-25,Kobbefjord,15,lady_bird,C1-N12,0.04,0.0187,,13.29,3,NA,HKDT,,,,
12-Jun-25,Kobbefjord,13.8,lady_bird,C2-N12,0.04,0.0146,,15.32,7,,,,,,
12-Jun-25,Kobbefjord,13.4,lady_bird,C5-N12,0.04,0.0257,,19.68,13,,,,,,
12-Jun-25,Kobbefjord,15.1,lady_bird,C4-N12,0.03,0.0144,,NA,0,,,,,,
12-Jun-25,Kobbefjord,14.6,lady_bird,C3-N12,0.03,,,20.3,13,,,,,,
12-Jun-25,Kobbefjord,11.1,syrphids,M7-N12,0.65,0.0085,,NA,0,,HKDT,38,269,fail,
12-Jun-25,Kobbefjord,11.6,syrphids,M8-N12,0.6,0.0046,,16.77,3.5,,HKDT,38,1305,,
12-Jun-25,Kobbefjord,27.5,syrphids,S1-N12,,,,NA,0,,HKDT,,360,,
12-Jun-25,Kobbefjord,27.9,syrphids,S3-N12,,,,NA,0,,HKDT,,,,
12-Jun-25,Kobbefjord,27.7,syrphids,U6-N12,,,,NA,0,,HKDT,,,,
19-Jun-25,Kobbefjord,1.7,wolf_spider,K19-WS1,,0.0466,L,30.65,25,,HKDT,,,,
19-Jun-25,Kobbefjord,1.1,wolf_spider,K19-WS2,,0.0532,L,47.34,23,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,1.1,wolf_spider,K19-WS3,,0.0393,L,41.11,22,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,1.1,wolf_spider,K19-WS4,,0.0119,S,17.93,3,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,1.5,wolf_spider,K19-WS5,,0.0965,L,31.54,6,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.8,wolf_spider,K19-WS6,,0.0088,S,12.65,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.6,wolf_spider,K19-WS7,,0.063,L,15.51,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.7,wolf_spider,K19-WS8,,0.0437,L,7.92,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.8,wolf_spider,K19-WS9,,0.0088,S,12.3,4,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.5,wolf_spider,K19-WS10,,0.0786,L,8.96,17,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.6,wolf_spider,K19-WS11,,0.051,L,7.54,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,1.1,wolf_spider,K19-WS12,,0.0478,L,15.31,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,0.8,wolf_spider,K19-WS13,,,S,7.33,3,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,1.2,wolf_spider,K19-WS14,,0.0048,S,14.1,6,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.1,wolf_spider,K19-WS15,,0.0656,L,5.38,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.4,wolf_spider,K19-WS16,,0.0886,L,7.14,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.6,wolf_spider,K19-WS17,,0.0469,L,14.18,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,7.4,wolf_spider,K19-WS18,,0.0268,S,11,25,,,,,acclimated at cold,
19-Jun-25,Kobbefjord,13.8,wolf_spider,K19-WS19,,0.0096,S,4.29,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.9,wolf_spider,K19-WS20,,0.0484,L,7.14,16,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.7,wolf_spider,K19-WS21,,0.0048,L,5.32,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.7,wolf_spider,K19-WS22,,0.0083,S,5.71,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,14.2,wolf_spider,K19-WS23,,0.0112,S,5.46,4,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.8,wolf_spider,K19-WS24,,0.053,S,5.6,4,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.9,wolf_spider,K19-WS25,,0.0593,L,8.37,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,13.8,wolf_spider,K19-WS26,,0.04551,L,2.31,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,14.1,wolf_spider,K19-WS27,,0.0566,L,2.51,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,26.8,wolf_spider,K19-WS28,,0.0568,L,3.25,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,26.7,wolf_spider,K19-WS29,,0.0195,S,7.42,11,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,26.8,wolf_spider,K19-WS30,,0.0564,L,2.05,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,27.4,wolf_spider,K19-WS31,,0.0431,L,2.3,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,26.9,wolf_spider,K19-WS32,,0.035,L,6.37,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,27.4,wolf_spider,K19-WS33,,0.0512,L,3.75,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,28,wolf_spider,K19-WS34,,,L,1.39,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,27.8,wolf_spider,K19-WS35,,,L,7.8,25,,,,,acclimated at ambient,
19-Jun-25,Kobbefjord,36.5,wolf_spider,K19-WS36,,,S,2.5,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,38,wolf_spider,K19-WS37,,,S,5.48,19,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,37.2,wolf_spider,K19-WS38,,,L,4.07,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,37.7,wolf_spider,K19-WS39,,,L,1.13,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,38.2,wolf_spider,K19-WS40,,,L,2.5,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,37.7,wolf_spider,K19-WS41,,,L,2.51,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,45.3,wolf_spider,K19-WS42,,,L,2.64,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,45.8,wolf_spider,K19-WS43,,,L,2.12,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,46.9,wolf_spider,K19-WS44,,,L,4.35,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,48,wolf_spider,K19-WS45,,,L,4.16,25,,,,,acclimated at hot,
19-Jun-25,Kobbefjord,48.3,wolf_spider,K19-WS46,,,L,3.36,25,,,,,acclimated at hot,
18-Jun-25,Kobbefjord,3.6,carabid,K18-C1,,,,24.44,25,,,,,,
18-Jun-25,Kobbefjord,2.7,carabid,K18-C2,,,,16,25,,,,,,
18-Jun-25,Kobbefjord,3.1,carabid,K18-C3,,,,13.59,25,,,,,,
18-Jun-25,Kobbefjord,3.1,carabid,K18-C4,,,,17.78,25,,,,,,
18-Jun-25,Kobbefjord,3.6,carabid,K18-C5,,,,27.8,23,,,,,,
18-Jun-25,Kobbefjord,2.8,carabid,K18-C6,,,,NA,0,,,,,fail,
18-Jun-25,Kobbefjord,3.8,carabid,K18-C7,,,,19.68,25,,,,,,
18-Jun-25,Kobbefjord,3.3,carabid,K18-C8,,,,NA,0,,,,,fail,
28-Jun-25,Zackenberg,13.2,mosquito,Z628-M1,,0.0018,,1.72,6,13,HKDT,37,334,"female, indivs made to fly on a chamber on a glass wall length 32cm",
28-Jun-25,Zackenberg,13.4,mosquito,Z628-M2,,0.0016,,4.4,19,13,HKDT,37,556,,
28-Jun-25,Zackenberg,13.2,mosquito,Z628-M3,,0.0015,,2.75,11,13,HKDT,37,255,,
28-Jun-25,Zackenberg,13.3,mosquito,Z628-M4,,0.0016,,2.5,32,13,HKDT,37,390,,
28-Jun-25,Zackenberg,13.3,mosquito,Z628-M5,,0.0022,,4.52,32,13,HKDT,37,312,,
28-Jun-25,Zackenberg,13.3,mosquito,Z628-M6,,0.0013,,4.27,29,13,HKDT,37,370,,
28-Jun-25,Zackenberg,13.2,mosquito,Z628-M7,,0.0025,,1,22,13,HKDT,38,1345,,
28-Jun-25,Zackenberg,24.8,mosquito,Z628-M8,,,,0.5,4,13,HKDT,35,1035," at 30cm chamber, female","maybe replacement individuals, data might not be good"
28-Jun-25,Zackenberg,24.3,mosquito,Z628-M9,,,,2,4,13,HKDT,35,558,0.0016-wgt of replacement,
28-Jun-25,Zackenberg,24.8,mosquito,Z628-M10,,,,3.81,17,13,HKDT,35,161,"female, .0013",
28-Jun-25,Zackenberg,24.2,mosquito,Z628-M11,,,,0.87,30,13,HKDT,35,156,0.0011,
28-Jun-25,Zackenberg,24.2,mosquito,Z628-M12,,0.0029,,3.29,22,13,HKDT,35,1010,,
28-Jun-25,Zackenberg,24.7,mosquito,Z628-M13,,,,0.5,22,13,HKDT,35,627,0.0017,
28-Jun-25,Zackenberg,24.6,mosquito,Z628-M14,,,,2.83,30,13,HKDT,35,276,0.0018,
28-Jun-25,Zackenberg,NA,mosquito,Z628-M15,,,,NA,NA,,,,,"male, escaped",
28-Jun-25,Zackenberg,34.6,mosquito,Z628-M16,,0.0025,,NA,NA,,,,,escaped,
28-Jun-25,Zackenberg,34.6,mosquito,Z628-M17,,,,NA,0,,,,,"female,fail",
28-Jun-25,Zackenberg,33.1,mosquito,Z628-M18,,0.004,,1.06,30,15.3,,,,female,
28-Jun-25,Zackenberg,33.2,mosquito,Z628-M19,,0.0023,,NA,0,15.3,,,,"female, fail",
28-Jun-25,Zackenberg,34.7,mosquito,Z628-M20,,,,0.9,30,,,,,female,
28-Jun-25,Zackenberg,34.3,mosquito,Z628-M21,,0.0109,,NA,0,,,,,"female, fail",
28-Jun-25,Zackenberg,33.2,mosquito,Z628-M22,,0.0078,,0.5,30,15.3,,,,female,
29-Jun-25,Zackenberg,15.2,muscids,Z629-U16,,,,NA,0,,,,,fail,
29-Jun-25,Zackenberg,15.3,muscids,Z629-U17,,0.0017,,5.44,2,5.7,HKDT,38,120,,
29-Jun-25,Zackenberg,14.9,muscids,Z629-U18,,0.0108,,49.12,7,15.3,HKDT,38,3600,,
29-Jun-25,Zackenberg,15.1,muscids,Z629-U19,,0.0099,,51.45,7,15.3,HKDT,38,3600,,
29-Jun-25,Zackenberg,15.1,muscids,Z629-U20,,0.0075,,8.12,2,5.7,HKDT,38,842,recovered after 1 hr,
29-Jun-25,Zackenberg,14.9,muscids,Z629-U21,,0.0075,,NA,0,5.7,HKDT,38,211,fail,
29-Jun-25,Zackenberg,15,muscids,Z629-U22,,0.0083,,4.8,2,15.3,HKDT,38,3600,,
29-Jun-25,Zackenberg,15.2,muscids,Z629-U26,,0.0077,,6,3,5.7,HKDT,38,270,did not recover after 1 hr,
29-Jun-25,Zackenberg,15.2,muscids,Z629-U27,,0.0226,,14.98,10,15.3,HKDT,38,1440,did not recover after 1 hr,
29-Jun-25,Zackenberg,15.3,muscids,Z629-U28,,0.0253,,24.53,5.5,5.7,HKDT,38,401,recovered after 1 hr,
29-Jun-25,Zackenberg,NA,chironomids,Z629-C1,,,,,,,Ctmax,36.6,,,
29-Jun-25,Zackenberg,NA,chironomids,Z629-C2,,,,,,,Ctmax,35,,,
29-Jun-25,Zackenberg,NA,chironomids,Z629-C3,,,,,,,Ctmax,35,,,
29-Jun-25,Zackenberg,NA,empids,Z629-E23,,,,,,,Ctmax,37,,,
29-Jun-25,Zackenberg,NA,empids,Z629-E24,,,,,,,Ctmax,37.5,,,
29-Jun-25,Zackenberg,NA,empids,Z629-E25,,,,,,,Ctmax,37,,,
29-Jun-25,Zackenberg,NA,craneflies,Z629-D1,,0.0324,,,,,Ctmax,37,,,
29-Jun-25,Zackenberg,NA,craneflies,Z629-D2,,0.0331,,,,,Ctmax,37,,,
29-Jun-25,Zackenberg,NA,craneflies,Z629-D3,,0.0383,,,,,Ctmax,36,,,
29-Jun-25,Zackenberg,NA,craneflies,Z629-D4,,0.0184,,,,,Ctmax,36,,,
30-Jun-25,Zackenberg,15.6,wolf_spider,Z630-S17,,0.0171,,5.57,25,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,15.6,wolf_spider,Z630-S45,,0.0103,,8.26,25,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,15.6,wolf_spider,Z630-S44,,0.0078,,10.1,25,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,15.6,wolf_spider,Z630-S33,,0.0075,,11.06,19,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,15.6,wolf_spider,Z630-S11,,0.0056,,15.1,25,15.7,HKDT,38,>1200,"start and stop, missing a leg",
30-Jun-25,Zackenberg,15.7,wolf_spider,Z630-S25,,0.0112,,3.41,25,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,15.4,wolf_spider,Z630-S28,,0.0117,,NA,0,15.7,HKDT,38,>1200,"fail, weak, leg missing",
30-Jun-25,Zackenberg,15.4,wolf_spider,Z630-S14,,0.0109,,6,25,15.7,HKDT,38,>1200,,
30-Jun-25,Zackenberg,,empids,Z630-E38,,0.0103,,,,5.7,HKDT,37,278,,
30-Jun-25,Zackenberg,,empids,Z630-E32,,0.0065,,,,5.7,HKDT,,140,,
30-Jun-25,Zackenberg,,empids,Z630-E53,,0.0088,,,,5.7,HKDT,,>1200,,
30-Jun-25,Zackenberg,,empids,Z630-E41,,0.0044,,,,5.7,HKDT,,161,,
30-Jun-25,Zackenberg,,empids,Z630-E47,,0.0061,,,,5.7,HKDT,,328,,
30-Jun-25,Zackenberg,,empids,Z630-E43,,0.0059,,,,5.7,HKDT,,292,,
30-Jun-25,Zackenberg,,empids,Z630-E46,,0.0038,,,,5.7,HKDT,,163,,
30-Jun-25,Zackenberg,,empids,Z630-E07,,0.0041,,,,5.7,HKDT,,344,,
30-Jun-25,Zackenberg,,empids,Z630-E40,,0.0047,,,,5.7,HKDT,,293,,
30-Jun-25,Zackenberg,,empids,Z630-E35,,0.0041,,,,5.7,HKDT,,300,,
30-Jun-25,Zackenberg,,empids,Z630-E13,,0.0074,,,,15.7,HKDT,,584,,
30-Jun-25,Zackenberg,,empids,Z630-E34,,0.0036,,,,15.7,HKDT,,305,,
